ruido,frec_obs,periodo,n_seg,n_meses,ok
0.0,7,30,20,3,0.9
0.0,7,30,20,6,0.8
0.0,7,30,20,9,1.0
0.0,7,30,20,12,0.9
0.0,7,60,20,3,1.0
0.0,7,60,20,6,1.0
0.0,7,60,20,9,1.0
0.0,7,60,20,12,1.0
0.0,7,90,20,3,0.4
0.0,7,90,20,6,1.0
0.0,7,90,20,9,0.8
0.0,7,90,20,12,1.0
0.0,7,120,20,3,0.9
0.0,7,120,20,6,1.0
0.0,7,120,20,9,0.7
0.0,7,120,20,12,1.0
0.0,7,150,20,3,0.9
0.0,7,150,20,6,0.8
0.0,7,150,20,9,1.0
0.0,7,150,20,12,1.0
0.0,7,180,20,3,0.9
0.0,7,180,20,6,1.0
0.0,7,180,20,9,1.0
0.0,7,180,20,12,1.0
0.0,7,210,20,3,1.0
0.0,7,210,20,6,1.0
0.0,7,210,20,9,1.0
0.0,7,210,20,12,1.0
0.0,7,240,20,3,1.0
0.0,7,240,20,6,1.0
0.0,7,240,20,9,1.0
0.0,7,240,20,12,1.0
0.0,7,270,20,3,1.0
0.0,7,270,20,6,1.0
0.0,7,270,20,9,1.0
0.0,7,270,20,12,1.0
0.0,7,300,20,3,1.0
0.0,7,300,20,6,1.0
0.0,7,300,20,9,1.0
0.0,7,300,20,12,1.0
0.0,7,330,20,3,1.0
0.0,7,330,20,6,1.0
0.0,7,330,20,9,1.0
0.0,7,330,20,12,1.0
0.0,7,360,20,3,1.0
0.0,7,360,20,6,1.0
0.0,7,360,20,9,0.9
0.0,7,360,20,12,1.0
0.0,14,30,20,3,1.0
0.0,14,30,20,6,1.0
0.0,14,30,20,9,1.0
0.0,14,30,20,12,1.0
0.0,14,60,20,3,1.0
0.0,14,60,20,6,1.0
0.0,14,60,20,9,1.0
0.0,14,60,20,12,1.0
0.0,14,90,20,3,0.2
0.0,14,90,20,6,1.0
0.0,14,90,20,9,0.9
0.0,14,90,20,12,0.9
0.0,14,120,20,3,0.9
0.0,14,120,20,6,1.0
0.0,14,120,20,9,0.8
0.0,14,120,20,12,1.0
0.0,14,150,20,3,0.6
0.0,14,150,20,6,0.7
0.0,14,150,20,9,1.0
0.0,14,150,20,12,1.0
0.0,14,180,20,3,0.8
0.0,14,180,20,6,0.8
0.0,14,180,20,9,1.0
0.0,14,180,20,12,1.0
0.0,14,210,20,3,1.0
0.0,14,210,20,6,1.0
0.0,14,210,20,9,1.0
0.0,14,210,20,12,1.0
0.0,14,240,20,3,1.0
0.0,14,240,20,6,1.0
0.0,14,240,20,9,1.0
0.0,14,240,20,12,1.0
0.0,14,270,20,3,1.0
0.0,14,270,20,6,1.0
0.0,14,270,20,9,1.0
0.0,14,270,20,12,1.0
0.0,14,300,20,3,1.0
0.0,14,300,20,6,1.0
0.0,14,300,20,9,1.0
0.0,14,300,20,12,1.0
0.0,14,330,20,3,1.0
0.0,14,330,20,6,1.0
0.0,14,330,20,9,1.0
0.0,14,330,20,12,1.0
0.0,14,360,20,3,1.0
0.0,14,360,20,6,1.0
0.0,14,360,20,9,1.0
0.0,14,360,20,12,1.0
0.0,21,30,20,3,1.0
0.0,21,30,20,6,1.0
0.0,21,30,20,9,1.0
0.0,21,30,20,12,1.0
0.0,21,60,20,3,1.0
0.0,21,60,20,6,0.8
0.0,21,60,20,9,1.0
0.0,21,60,20,12,1.0
0.0,21,90,20,3,0.5
0.0,21,90,20,6,0.9
0.0,21,90,20,9,0.7
0.0,21,90,20,12,0.9
0.0,21,120,20,3,0.6
0.0,21,120,20,6,1.0
0.0,21,120,20,9,1.0
0.0,21,120,20,12,0.9
0.0,21,150,20,3,0.8
0.0,21,150,20,6,1.0
0.0,21,150,20,9,1.0
0.0,21,150,20,12,1.0
0.0,21,180,20,3,1.0
0.0,21,180,20,6,0.9
0.0,21,180,20,9,1.0
0.0,21,180,20,12,1.0
0.0,21,210,20,3,1.0
0.0,21,210,20,6,1.0
0.0,21,210,20,9,1.0
0.0,21,210,20,12,1.0
0.0,21,240,20,3,1.0
0.0,21,240,20,6,1.0
0.0,21,240,20,9,1.0
0.0,21,240,20,12,1.0
0.0,21,270,20,3,1.0
0.0,21,270,20,6,1.0
0.0,21,270,20,9,1.0
0.0,21,270,20,12,1.0
0.0,21,300,20,3,1.0
0.0,21,300,20,6,1.0
0.0,21,300,20,9,1.0
0.0,21,300,20,12,1.0
0.0,21,330,20,3,1.0
0.0,21,330,20,6,1.0
0.0,21,330,20,9,1.0
0.0,21,330,20,12,1.0
0.0,21,360,20,3,1.0
0.0,21,360,20,6,1.0
0.0,21,360,20,9,1.0
0.0,21,360,20,12,1.0
0.0,28,30,20,3,0.9
0.0,28,30,20,6,1.0
0.0,28,30,20,9,1.0
0.0,28,30,20,12,1.0
0.0,28,60,20,3,1.0
0.0,28,60,20,6,0.7
0.0,28,60,20,9,1.0
0.0,28,60,20,12,1.0
0.0,28,90,20,3,0.4
0.0,28,90,20,6,0.8
0.0,28,90,20,9,1.0
0.0,28,90,20,12,1.0
0.0,28,120,20,3,0.5
0.0,28,120,20,6,1.0
0.0,28,120,20,9,1.0
0.0,28,120,20,12,1.0
0.0,28,150,20,3,0.9
0.0,28,150,20,6,0.8
0.0,28,150,20,9,1.0
0.0,28,150,20,12,1.0
0.0,28,180,20,3,0.8
0.0,28,180,20,6,1.0
0.0,28,180,20,9,1.0
0.0,28,180,20,12,0.9
0.0,28,210,20,3,1.0
0.0,28,210,20,6,1.0
0.0,28,210,20,9,1.0
0.0,28,210,20,12,0.8
0.0,28,240,20,3,1.0
0.0,28,240,20,6,1.0
0.0,28,240,20,9,1.0
0.0,28,240,20,12,1.0
0.0,28,270,20,3,1.0
0.0,28,270,20,6,1.0
0.0,28,270,20,9,1.0
0.0,28,270,20,12,1.0
0.0,28,300,20,3,1.0
0.0,28,300,20,6,1.0
0.0,28,300,20,9,1.0
0.0,28,300,20,12,1.0
0.0,28,330,20,3,1.0
0.0,28,330,20,6,1.0
0.0,28,330,20,9,1.0
0.0,28,330,20,12,1.0
0.0,28,360,20,3,1.0
0.0,28,360,20,6,1.0
0.0,28,360,20,9,1.0
0.0,28,360,20,12,1.0
0.1,7,30,20,3,1.0
0.1,7,30,20,6,0.8
0.1,7,30,20,9,0.9
0.1,7,30,20,12,1.0
0.1,7,60,20,3,0.9
0.1,7,60,20,6,1.0
0.1,7,60,20,9,1.0
0.1,7,60,20,12,1.0
0.1,7,90,20,3,0.6
0.1,7,90,20,6,0.9
0.1,7,90,20,9,1.0
0.1,7,90,20,12,1.0
0.1,7,120,20,3,0.9
0.1,7,120,20,6,1.0
0.1,7,120,20,9,1.0
0.1,7,120,20,12,1.0
0.1,7,150,20,3,0.9
0.1,7,150,20,6,1.0
0.1,7,150,20,9,0.9
0.1,7,150,20,12,1.0
0.1,7,180,20,3,1.0
0.1,7,180,20,6,1.0
0.1,7,180,20,9,1.0
0.1,7,180,20,12,1.0
0.1,7,210,20,3,0.8
0.1,7,210,20,6,1.0
0.1,7,210,20,9,1.0
0.1,7,210,20,12,0.9
0.1,7,240,20,3,1.0
0.1,7,240,20,6,1.0
0.1,7,240,20,9,1.0
0.1,7,240,20,12,1.0
0.1,7,270,20,3,1.0
0.1,7,270,20,6,1.0
0.1,7,270,20,9,0.9
0.1,7,270,20,12,1.0
0.1,7,300,20,3,1.0
0.1,7,300,20,6,1.0
0.1,7,300,20,9,1.0
0.1,7,300,20,12,1.0
0.1,7,330,20,3,1.0
0.1,7,330,20,6,1.0
0.1,7,330,20,9,1.0
0.1,7,330,20,12,1.0
0.1,7,360,20,3,1.0
0.1,7,360,20,6,1.0
0.1,7,360,20,9,0.9
0.1,7,360,20,12,1.0
0.1,14,30,20,3,1.0
0.1,14,30,20,6,1.0
0.1,14,30,20,9,1.0
0.1,14,30,20,12,1.0
0.1,14,60,20,3,1.0
0.1,14,60,20,6,1.0
0.1,14,60,20,9,0.8
0.1,14,60,20,12,0.9
0.1,14,90,20,3,0.7
0.1,14,90,20,6,1.0
0.1,14,90,20,9,0.9
0.1,14,90,20,12,1.0
0.1,14,120,20,3,0.8
0.1,14,120,20,6,0.9
0.1,14,120,20,9,1.0
0.1,14,120,20,12,1.0
0.1,14,150,20,3,0.7
0.1,14,150,20,6,1.0
0.1,14,150,20,9,1.0
0.1,14,150,20,12,1.0
0.1,14,180,20,3,1.0
0.1,14,180,20,6,0.9
0.1,14,180,20,9,0.9
0.1,14,180,20,12,1.0
0.1,14,210,20,3,1.0
0.1,14,210,20,6,0.9
0.1,14,210,20,9,0.9
0.1,14,210,20,12,1.0
0.1,14,240,20,3,1.0
0.1,14,240,20,6,1.0
0.1,14,240,20,9,1.0
0.1,14,240,20,12,1.0
0.1,14,270,20,3,1.0
0.1,14,270,20,6,0.9
0.1,14,270,20,9,1.0
0.1,14,270,20,12,1.0
0.1,14,300,20,3,1.0
0.1,14,300,20,6,1.0
0.1,14,300,20,9,1.0
0.1,14,300,20,12,1.0
0.1,14,330,20,3,0.9
0.1,14,330,20,6,1.0
0.1,14,330,20,9,1.0
0.1,14,330,20,12,1.0
0.1,14,360,20,3,1.0
0.1,14,360,20,6,1.0
0.1,14,360,20,9,0.9
0.1,14,360,20,12,0.9
0.1,21,30,20,3,0.9
0.1,21,30,20,6,0.9
0.1,21,30,20,9,0.9
0.1,21,30,20,12,1.0
0.1,21,60,20,3,1.0
0.1,21,60,20,6,0.6
0.1,21,60,20,9,1.0
0.1,21,60,20,12,1.0
0.1,21,90,20,3,0.7
0.1,21,90,20,6,0.6
0.1,21,90,20,9,0.8
0.1,21,90,20,12,0.9
0.1,21,120,20,3,0.7
0.1,21,120,20,6,0.8
0.1,21,120,20,9,1.0
0.1,21,120,20,12,1.0
0.1,21,150,20,3,0.9
0.1,21,150,20,6,0.7
0.1,21,150,20,9,1.0
0.1,21,150,20,12,1.0
0.1,21,180,20,3,0.7
0.1,21,180,20,6,0.9
0.1,21,180,20,9,1.0
0.1,21,180,20,12,1.0
0.1,21,210,20,3,1.0
0.1,21,210,20,6,1.0
0.1,21,210,20,9,1.0
0.1,21,210,20,12,1.0
0.1,21,240,20,3,1.0
0.1,21,240,20,6,1.0
0.1,21,240,20,9,1.0
0.1,21,240,20,12,1.0
0.1,21,270,20,3,1.0
0.1,21,270,20,6,1.0
0.1,21,270,20,9,1.0
0.1,21,270,20,12,1.0
0.1,21,300,20,3,0.9
0.1,21,300,20,6,1.0
0.1,21,300,20,9,1.0
0.1,21,300,20,12,1.0
0.1,21,330,20,3,0.9
0.1,21,330,20,6,1.0
0.1,21,330,20,9,1.0
0.1,21,330,20,12,1.0
0.1,21,360,20,3,1.0
0.1,21,360,20,6,1.0
0.1,21,360,20,9,1.0
0.1,21,360,20,12,1.0
0.1,28,30,20,3,1.0
0.1,28,30,20,6,0.7
0.1,28,30,20,9,0.8
0.1,28,30,20,12,1.0
0.1,28,60,20,3,1.0
0.1,28,60,20,6,0.9
0.1,28,60,20,9,1.0
0.1,28,60,20,12,1.0
0.1,28,90,20,3,0.5
0.1,28,90,20,6,1.0
0.1,28,90,20,9,1.0
0.1,28,90,20,12,1.0
0.1,28,120,20,3,0.3
0.1,28,120,20,6,0.9
0.1,28,120,20,9,0.9
0.1,28,120,20,12,0.9
0.1,28,150,20,3,0.6
0.1,28,150,20,6,0.8
0.1,28,150,20,9,1.0
0.1,28,150,20,12,0.9
0.1,28,180,20,3,1.0
0.1,28,180,20,6,1.0
0.1,28,180,20,9,1.0
0.1,28,180,20,12,1.0
0.1,28,210,20,3,0.9
0.1,28,210,20,6,0.9
0.1,28,210,20,9,1.0
0.1,28,210,20,12,1.0
