ruido,frec_obs,periodo,n_seg,n_meses,ok
0.1,28,240,20,3,1.0
0.1,28,240,20,6,1.0
0.1,28,240,20,9,0.9
0.1,28,240,20,12,1.0
0.1,28,270,20,3,1.0
0.1,28,270,20,6,0.9
0.1,28,270,20,9,0.9
0.1,28,270,20,12,1.0
0.1,28,300,20,3,0.9
0.1,28,300,20,6,1.0
0.1,28,300,20,9,1.0
0.1,28,300,20,12,1.0
0.1,28,330,20,3,1.0
0.1,28,330,20,6,0.9
0.1,28,330,20,9,0.9
0.1,28,330,20,12,1.0
0.1,28,360,20,3,1.0
0.1,28,360,20,6,1.0
0.1,28,360,20,9,1.0
0.1,28,360,20,12,1.0
0.2,7,30,20,3,0.7
0.2,7,30,20,6,0.7
0.2,7,30,20,9,1.0
0.2,7,30,20,12,0.8
0.2,7,60,20,3,0.7
0.2,7,60,20,6,1.0
0.2,7,60,20,9,1.0
0.2,7,60,20,12,0.9
0.2,7,90,20,3,0.7
0.2,7,90,20,6,0.9
0.2,7,90,20,9,0.9
0.2,7,90,20,12,1.0
0.2,7,120,20,3,0.8
0.2,7,120,20,6,1.0
0.2,7,120,20,9,1.0
0.2,7,120,20,12,1.0
0.2,7,150,20,3,0.8
0.2,7,150,20,6,1.0
0.2,7,150,20,9,1.0
0.2,7,150,20,12,1.0
0.2,7,180,20,3,1.0
0.2,7,180,20,6,1.0
0.2,7,180,20,9,1.0
0.2,7,180,20,12,1.0
0.2,7,210,20,3,1.0
0.2,7,210,20,6,1.0
0.2,7,210,20,9,1.0
0.2,7,210,20,12,1.0
0.2,7,240,20,3,1.0
0.2,7,240,20,6,1.0
0.2,7,240,20,9,1.0
0.2,7,240,20,12,0.9
0.2,7,270,20,3,0.8
0.2,7,270,20,6,1.0
0.2,7,270,20,9,1.0
0.2,7,270,20,12,1.0
0.2,7,300,20,3,1.0
0.2,7,300,20,6,1.0
0.2,7,300,20,9,1.0
0.2,7,300,20,12,1.0
0.2,7,330,20,3,0.9
0.2,7,330,20,6,1.0
0.2,7,330,20,9,1.0
0.2,7,330,20,12,1.0
0.2,7,360,20,3,0.9
0.2,7,360,20,6,0.9
0.2,7,360,20,9,0.9
0.2,7,360,20,12,1.0
0.2,14,30,20,3,0.7
0.2,14,30,20,6,1.0
0.2,14,30,20,9,1.0
0.2,14,30,20,12,0.8
0.2,14,60,20,3,0.8
0.2,14,60,20,6,1.0
0.2,14,60,20,9,0.8
0.2,14,60,20,12,0.9
0.2,14,90,20,3,0.6
0.2,14,90,20,6,0.8
0.2,14,90,20,9,0.9
0.2,14,90,20,12,1.0
0.2,14,120,20,3,0.9
0.2,14,120,20,6,0.8
0.2,14,120,20,9,1.0
0.2,14,120,20,12,1.0
0.2,14,150,20,3,0.5
0.2,14,150,20,6,0.9
0.2,14,150,20,9,1.0
0.2,14,150,20,12,1.0
0.2,14,180,20,3,0.9
0.2,14,180,20,6,1.0
0.2,14,180,20,9,1.0
0.2,14,180,20,12,1.0
0.2,14,210,20,3,0.7
0.2,14,210,20,6,1.0
0.2,14,210,20,9,1.0
0.2,14,210,20,12,1.0
0.2,14,240,20,3,0.9
0.2,14,240,20,6,1.0
0.2,14,240,20,9,0.9
0.2,14,240,20,12,1.0
0.2,14,270,20,3,0.9
0.2,14,270,20,6,1.0
0.2,14,270,20,9,1.0
0.2,14,270,20,12,1.0
0.2,14,300,20,3,0.9
0.2,14,300,20,6,1.0
0.2,14,300,20,9,1.0
0.2,14,300,20,12,1.0
0.2,14,330,20,3,0.9
0.2,14,330,20,6,1.0
0.2,14,330,20,9,1.0
0.2,14,330,20,12,0.9
0.2,14,360,20,3,0.9
0.2,14,360,20,6,1.0
0.2,14,360,20,9,1.0
0.2,14,360,20,12,1.0
0.2,21,30,20,3,0.8
0.2,21,30,20,6,0.4
0.2,21,30,20,9,1.0
0.2,21,30,20,12,1.0
0.2,21,60,20,3,0.9
0.2,21,60,20,6,0.7
0.2,21,60,20,9,1.0
0.2,21,60,20,12,0.9
0.2,21,90,20,3,0.5
0.2,21,90,20,6,0.7
0.2,21,90,20,9,0.7
0.2,21,90,20,12,0.9
0.2,21,120,20,3,0.6
0.2,21,120,20,6,0.8
0.2,21,120,20,9,1.0
0.2,21,120,20,12,1.0
0.2,21,150,20,3,0.7
0.2,21,150,20,6,1.0
0.2,21,150,20,9,0.9
0.2,21,150,20,12,0.9
0.2,21,180,20,3,0.3
0.2,21,180,20,6,0.9
0.2,21,180,20,9,1.0
0.2,21,180,20,12,1.0
0.2,21,210,20,3,0.6
0.2,21,210,20,6,0.7
0.2,21,210,20,9,1.0
0.2,21,210,20,12,1.0
0.2,21,240,20,3,0.7
0.2,21,240,20,6,0.9
0.2,21,240,20,9,1.0
0.2,21,240,20,12,1.0
0.2,21,270,20,3,0.8
0.2,21,270,20,6,1.0
0.2,21,270,20,9,1.0
0.2,21,270,20,12,1.0
0.2,21,300,20,3,1.0
0.2,21,300,20,6,0.9
0.2,21,300,20,9,1.0
0.2,21,300,20,12,1.0
0.2,21,330,20,3,0.8
0.2,21,330,20,6,1.0
0.2,21,330,20,9,1.0
0.2,21,330,20,12,0.9
0.2,21,360,20,3,0.9
0.2,21,360,20,6,0.8
0.2,21,360,20,9,0.9
0.2,21,360,20,12,1.0
0.2,28,30,20,3,0.7
0.2,28,30,20,6,0.9
0.2,28,30,20,9,0.7
0.2,28,30,20,12,1.0
0.2,28,60,20,3,0.7
0.2,28,60,20,6,0.4
0.2,28,60,20,9,0.9
0.2,28,60,20,12,1.0
0.2,28,90,20,3,0.4
0.2,28,90,20,6,0.6
0.2,28,90,20,9,0.9
0.2,28,90,20,12,0.9
0.2,28,120,20,3,0.4
0.2,28,120,20,6,0.9
0.2,28,120,20,9,0.9
0.2,28,120,20,12,1.0
0.2,28,150,20,3,0.8
0.2,28,150,20,6,1.0
0.2,28,150,20,9,0.9
0.2,28,150,20,12,0.9
0.2,28,180,20,3,0.5
0.2,28,180,20,6,0.9
0.2,28,180,20,9,1.0
0.2,28,180,20,12,1.0
0.2,28,210,20,3,0.3
0.2,28,210,20,6,0.8
0.2,28,210,20,9,0.9
0.2,28,210,20,12,1.0
0.2,28,240,20,3,0.9
0.2,28,240,20,6,0.8
0.2,28,240,20,9,1.0
0.2,28,240,20,12,1.0
0.2,28,270,20,3,0.8
0.2,28,270,20,6,1.0
0.2,28,270,20,9,1.0
0.2,28,270,20,12,0.9
0.2,28,300,20,3,0.9
0.2,28,300,20,6,0.8
0.2,28,300,20,9,0.9
0.2,28,300,20,12,1.0
0.2,28,330,20,3,0.8
0.2,28,330,20,6,1.0
0.2,28,330,20,9,1.0
0.2,28,330,20,12,0.9
0.2,28,360,20,3,0.9
0.2,28,360,20,6,0.9
0.2,28,360,20,9,1.0
0.2,28,360,20,12,1.0
0.30000000000000004,7,30,20,3,0.5
0.30000000000000004,7,30,20,6,0.7
0.30000000000000004,7,30,20,9,1.0
0.30000000000000004,7,30,20,12,1.0
0.30000000000000004,7,60,20,3,0.3
0.30000000000000004,7,60,20,6,0.5
0.30000000000000004,7,60,20,9,1.0
0.30000000000000004,7,60,20,12,1.0
0.30000000000000004,7,90,20,3,0.7
0.30000000000000004,7,90,20,6,0.7
0.30000000000000004,7,90,20,9,0.9
0.30000000000000004,7,90,20,12,1.0
0.30000000000000004,7,120,20,3,0.2
0.30000000000000004,7,120,20,6,0.9
0.30000000000000004,7,120,20,9,0.9
0.30000000000000004,7,120,20,12,0.9
0.30000000000000004,7,150,20,3,0.6
0.30000000000000004,7,150,20,6,0.9
0.30000000000000004,7,150,20,9,1.0
0.30000000000000004,7,150,20,12,1.0
0.30000000000000004,7,180,20,3,0.4
0.30000000000000004,7,180,20,6,0.9
0.30000000000000004,7,180,20,9,0.9
0.30000000000000004,7,180,20,12,0.8
0.30000000000000004,7,210,20,3,0.3
0.30000000000000004,7,210,20,6,0.7
0.30000000000000004,7,210,20,9,0.6
0.30000000000000004,7,210,20,12,0.8
0.30000000000000004,7,240,20,3,0.4
0.30000000000000004,7,240,20,6,0.8
0.30000000000000004,7,240,20,9,0.8
0.30000000000000004,7,240,20,12,1.0
0.30000000000000004,7,270,20,3,0.3
0.30000000000000004,7,270,20,6,0.6
0.30000000000000004,7,270,20,9,0.8
0.30000000000000004,7,270,20,12,1.0
0.30000000000000004,7,300,20,3,0.3
0.30000000000000004,7,300,20,6,0.5
0.30000000000000004,7,300,20,9,0.7
0.30000000000000004,7,300,20,12,0.9
0.30000000000000004,7,330,20,3,0.4
0.30000000000000004,7,330,20,6,0.7
0.30000000000000004,7,330,20,9,1.0
0.30000000000000004,7,330,20,12,0.7
0.30000000000000004,7,360,20,3,0.2
0.30000000000000004,7,360,20,6,0.5
0.30000000000000004,7,360,20,9,0.7
0.30000000000000004,7,360,20,12,0.9
0.30000000000000004,14,30,20,3,0.5
0.30000000000000004,14,30,20,6,0.5
0.30000000000000004,14,30,20,9,0.5
0.30000000000000004,14,30,20,12,0.9
0.30000000000000004,14,60,20,3,1.0
0.30000000000000004,14,60,20,6,0.9
0.30000000000000004,14,60,20,9,0.9
0.30000000000000004,14,60,20,12,1.0
0.30000000000000004,14,90,20,3,0.7
0.30000000000000004,14,90,20,6,0.8
0.30000000000000004,14,90,20,9,0.9
0.30000000000000004,14,90,20,12,1.0
0.30000000000000004,14,120,20,3,0.0
0.30000000000000004,14,120,20,6,0.8
0.30000000000000004,14,120,20,9,0.8
0.30000000000000004,14,120,20,12,1.0
0.30000000000000004,14,150,20,3,0.2
0.30000000000000004,14,150,20,6,0.8
0.30000000000000004,14,150,20,9,0.9
0.30000000000000004,14,150,20,12,1.0
0.30000000000000004,14,180,20,3,0.6
0.30000000000000004,14,180,20,6,0.8
0.30000000000000004,14,180,20,9,0.7
0.30000000000000004,14,180,20,12,0.9
0.30000000000000004,14,210,20,3,0.7
0.30000000000000004,14,210,20,6,0.8
0.30000000000000004,14,210,20,9,0.9
0.30000000000000004,14,210,20,12,0.8
0.30000000000000004,14,240,20,3,0.4
0.30000000000000004,14,240,20,6,1.0
0.30000000000000004,14,240,20,9,0.9
0.30000000000000004,14,240,20,12,0.9
0.30000000000000004,14,270,20,3,0.7
0.30000000000000004,14,270,20,6,0.8
0.30000000000000004,14,270,20,9,1.0
0.30000000000000004,14,270,20,12,0.9
0.30000000000000004,14,300,20,3,0.8
0.30000000000000004,14,300,20,6,0.9
0.30000000000000004,14,300,20,9,0.9
0.30000000000000004,14,300,20,12,0.8
0.30000000000000004,14,330,20,3,0.6
0.30000000000000004,14,330,20,6,0.5
0.30000000000000004,14,330,20,9,0.8
0.30000000000000004,14,330,20,12,1.0
0.30000000000000004,14,360,20,3,0.3
0.30000000000000004,14,360,20,6,0.7
0.30000000000000004,14,360,20,9,0.9
0.30000000000000004,14,360,20,12,0.9
0.30000000000000004,21,30,20,3,0.5
0.30000000000000004,21,30,20,6,0.3
0.30000000000000004,21,30,20,9,0.1
0.30000000000000004,21,30,20,12,0.6
0.30000000000000004,21,60,20,3,0.8
0.30000000000000004,21,60,20,6,0.8
0.30000000000000004,21,60,20,9,0.8
0.30000000000000004,21,60,20,12,0.8
0.30000000000000004,21,90,20,3,0.3
0.30000000000000004,21,90,20,6,0.6
0.30000000000000004,21,90,20,9,0.9
0.30000000000000004,21,90,20,12,1.0
0.30000000000000004,21,120,20,3,0.4
0.30000000000000004,21,120,20,6,0.8
0.30000000000000004,21,120,20,9,0.8
0.30000000000000004,21,120,20,12,0.8
0.30000000000000004,21,150,20,3,0.5
0.30000000000000004,21,150,20,6,0.9
0.30000000000000004,21,150,20,9,0.9
0.30000000000000004,21,150,20,12,0.7
0.30000000000000004,21,180,20,3,0.7
0.30000000000000004,21,180,20,6,0.5
0.30000000000000004,21,180,20,9,0.9
0.30000000000000004,21,180,20,12,0.9
0.30000000000000004,21,210,20,3,0.7
0.30000000000000004,21,210,20,6,0.9
0.30000000000000004,21,210,20,9,1.0
0.30000000000000004,21,210,20,12,0.9
0.30000000000000004,21,240,20,3,0.8
0.30000000000000004,21,240,20,6,0.8
0.30000000000000004,21,240,20,9,0.8
0.30000000000000004,21,240,20,12,0.9
0.30000000000000004,21,270,20,3,0.7
0.30000000000000004,21,270,20,6,0.7
0.30000000000000004,21,270,20,9,0.9
0.30000000000000004,21,270,20,12,1.0
0.30000000000000004,21,300,20,3,0.7
0.30000000000000004,21,300,20,6,0.8
0.30000000000000004,21,300,20,9,1.0
0.30000000000000004,21,300,20,12,1.0
0.30000000000000004,21,330,20,3,0.4
0.30000000000000004,21,330,20,6,0.6
0.30000000000000004,21,330,20,9,0.7
0.30000000000000004,21,330,20,12,1.0
0.30000000000000004,21,360,20,3,0.6
0.30000000000000004,21,360,20,6,0.7
0.30000000000000004,21,360,20,9,1.0
0.30000000000000004,21,360,20,12,1.0
0.30000000000000004,28,30,20,3,0.5
0.30000000000000004,28,30,20,6,0.7
0.30000000000000004,28,30,20,9,0.4
0.30000000000000004,28,30,20,12,0.7
0.30000000000000004,28,60,20,3,0.7
0.30000000000000004,28,60,20,6,0.5
0.30000000000000004,28,60,20,9,0.5
0.30000000000000004,28,60,20,12,0.8
0.30000000000000004,28,90,20,3,0.3
0.30000000000000004,28,90,20,6,0.8
0.30000000000000004,28,90,20,9,0.7
0.30000000000000004,28,90,20,12,0.8
0.30000000000000004,28,120,20,3,0.2
0.30000000000000004,28,120,20,6,0.4
0.30000000000000004,28,120,20,9,0.9
0.30000000000000004,28,120,20,12,0.6
0.30000000000000004,28,150,20,3,0.2
0.30000000000000004,28,150,20,6,0.8
0.30000000000000004,28,150,20,9,0.8
0.30000000000000004,28,150,20,12,0.8
0.30000000000000004,28,180,20,3,0.2
0.30000000000000004,28,180,20,6,0.9
0.30000000000000004,28,180,20,9,0.9
0.30000000000000004,28,180,20,12,1.0
0.30000000000000004,28,210,20,3,0.3
0.30000000000000004,28,210,20,6,0.7
0.30000000000000004,28,210,20,9,1.0
0.30000000000000004,28,210,20,12,0.9
0.30000000000000004,28,240,20,3,0.4
0.30000000000000004,28,240,20,6,1.0
0.30000000000000004,28,240,20,9,0.9
0.30000000000000004,28,240,20,12,0.8
0.30000000000000004,28,270,20,3,0.4
0.30000000000000004,28,270,20,6,0.7
0.30000000000000004,28,270,20,9,1.0
0.30000000000000004,28,270,20,12,0.7
0.30000000000000004,28,300,20,3,0.8
0.30000000000000004,28,300,20,6,0.9
0.30000000000000004,28,300,20,9,0.6
0.30000000000000004,28,300,20,12,0.9
0.30000000000000004,28,330,20,3,0.9
0.30000000000000004,28,330,20,6,0.7
0.30000000000000004,28,330,20,9,1.0
0.30000000000000004,28,330,20,12,0.9
0.30000000000000004,28,360,20,3,0.7
0.30000000000000004,28,360,20,6,0.8
0.30000000000000004,28,360,20,9,0.9
0.30000000000000004,28,360,20,12,1.0
0.4,7,30,20,3,0.5
0.4,7,30,20,6,0.5
0.4,7,30,20,9,0.9
0.4,7,30,20,12,0.7
0.4,7,60,20,3,0.2
0.4,7,60,20,6,0.9
0.4,7,60,20,9,1.0
0.4,7,60,20,12,1.0
0.4,7,90,20,3,0.6
0.4,7,90,20,6,0.5
0.4,7,90,20,9,0.7
0.4,7,90,20,12,0.8
0.4,7,120,20,3,0.3
0.4,7,120,20,6,0.3
0.4,7,120,20,9,0.5
0.4,7,120,20,12,0.9
0.4,7,150,20,3,0.0
0.4,7,150,20,6,0.2
0.4,7,150,20,9,0.6
0.4,7,150,20,12,0.9
0.4,7,180,20,3,0.4
0.4,7,180,20,6,0.5
0.4,7,180,20,9,0.8
0.4,7,180,20,12,0.4
0.4,7,210,20,3,0.7
0.4,7,210,20,6,0.0
0.4,7,210,20,9,0.5
0.4,7,210,20,12,0.9
0.4,7,240,20,3,0.4
0.4,7,240,20,6,0.4
0.4,7,240,20,9,0.7
0.4,7,240,20,12,0.6
0.4,7,270,20,3,0.4
0.4,7,270,20,6,0.6
0.4,7,270,20,9,0.5
0.4,7,270,20,12,0.6
0.4,7,300,20,3,0.5
0.4,7,300,20,6,0.5
0.4,7,300,20,9,0.7
0.4,7,300,20,12,0.4
0.4,7,330,20,3,0.6
0.4,7,330,20,6,0.8
0.4,7,330,20,9,0.3
