,ruido,frec_obs,periodo,n_seg,n_meses,ok
1400,0.7000000000000001,14,90,20,3,False
1401,0.7000000000000001,14,90,20,6,False
1402,0.7000000000000001,14,90,20,9,True
1403,0.7000000000000001,14,90,20,12,True
1404,0.7000000000000001,14,120,20,3,False
1405,0.7000000000000001,14,120,20,6,False
1406,0.7000000000000001,14,120,20,9,True
1407,0.7000000000000001,14,120,20,12,True
1408,0.7000000000000001,14,150,20,3,True
1409,0.7000000000000001,14,150,20,6,False
1410,0.7000000000000001,14,150,20,9,True
1411,0.7000000000000001,14,150,20,12,True
1412,0.7000000000000001,14,180,20,3,False
1413,0.7000000000000001,14,180,20,6,True
1414,0.7000000000000001,14,180,20,9,False
1415,0.7000000000000001,14,180,20,12,True
1416,0.7000000000000001,14,210,20,3,True
1417,0.7000000000000001,14,210,20,6,False
1418,0.7000000000000001,14,210,20,9,True
1419,0.7000000000000001,14,210,20,12,False
1420,0.7000000000000001,14,240,20,3,True
1421,0.7000000000000001,14,240,20,6,True
1422,0.7000000000000001,14,240,20,9,True
1423,0.7000000000000001,14,240,20,12,True
1424,0.7000000000000001,14,270,20,3,True
1425,0.7000000000000001,14,270,20,6,True
1426,0.7000000000000001,14,270,20,9,True
1427,0.7000000000000001,14,270,20,12,True
1428,0.7000000000000001,14,300,20,3,False
1429,0.7000000000000001,14,300,20,6,True
1430,0.7000000000000001,14,300,20,9,True
1431,0.7000000000000001,14,300,20,12,True
1432,0.7000000000000001,14,330,20,3,True
1433,0.7000000000000001,14,330,20,6,True
1434,0.7000000000000001,14,330,20,9,True
1435,0.7000000000000001,14,330,20,12,True
1436,0.7000000000000001,14,360,20,3,False
1437,0.7000000000000001,14,360,20,6,True
1438,0.7000000000000001,14,360,20,9,True
1439,0.7000000000000001,14,360,20,12,True
1440,0.7000000000000001,21,30,20,3,False
1441,0.7000000000000001,21,30,20,6,False
1442,0.7000000000000001,21,30,20,9,False
1443,0.7000000000000001,21,30,20,12,False
1444,0.7000000000000001,21,60,20,3,False
1445,0.7000000000000001,21,60,20,6,False
1446,0.7000000000000001,21,60,20,9,True
1447,0.7000000000000001,21,60,20,12,False
1448,0.7000000000000001,21,90,20,3,False
1449,0.7000000000000001,21,90,20,6,False
1450,0.7000000000000001,21,90,20,9,False
1451,0.7000000000000001,21,90,20,12,False
1452,0.7000000000000001,21,120,20,3,True
1453,0.7000000000000001,21,120,20,6,True
1454,0.7000000000000001,21,120,20,9,True
1455,0.7000000000000001,21,120,20,12,True
1456,0.7000000000000001,21,150,20,3,False
1457,0.7000000000000001,21,150,20,6,False
1458,0.7000000000000001,21,150,20,9,True
1459,0.7000000000000001,21,150,20,12,True
1460,0.7000000000000001,21,180,20,3,False
1461,0.7000000000000001,21,180,20,6,True
1462,0.7000000000000001,21,180,20,9,False
1463,0.7000000000000001,21,180,20,12,True
1464,0.7000000000000001,21,210,20,3,False
1465,0.7000000000000001,21,210,20,6,True
1466,0.7000000000000001,21,210,20,9,True
1467,0.7000000000000001,21,210,20,12,True
1468,0.7000000000000001,21,240,20,3,False
1469,0.7000000000000001,21,240,20,6,True
1470,0.7000000000000001,21,240,20,9,True
1471,0.7000000000000001,21,240,20,12,True
1472,0.7000000000000001,21,270,20,3,False
1473,0.7000000000000001,21,270,20,6,True
1474,0.7000000000000001,21,270,20,9,True
1475,0.7000000000000001,21,270,20,12,True
1476,0.7000000000000001,21,300,20,3,False
1477,0.7000000000000001,21,300,20,6,True
1478,0.7000000000000001,21,300,20,9,False
1479,0.7000000000000001,21,300,20,12,True
1480,0.7000000000000001,21,330,20,3,True
1481,0.7000000000000001,21,330,20,6,True
1482,0.7000000000000001,21,330,20,9,True
1483,0.7000000000000001,21,330,20,12,True
1484,0.7000000000000001,21,360,20,3,False
1485,0.7000000000000001,21,360,20,6,False
1486,0.7000000000000001,21,360,20,9,True
1487,0.7000000000000001,21,360,20,12,True
1488,0.7000000000000001,28,30,20,3,False
