,ruido,frec_obs,periodo,n_seg,n_meses,ok
198,0.2,7,60,20,9,True
199,0.2,7,60,20,12,True
200,0.2,7,90,20,3,True
201,0.2,7,90,20,6,True
202,0.2,7,90,20,9,True
203,0.2,7,90,20,12,True
204,0.2,7,120,20,3,False
205,0.2,7,120,20,6,True
206,0.2,7,120,20,9,True
207,0.2,7,120,20,12,True
208,0.2,7,150,20,3,False
209,0.2,7,150,20,6,True
210,0.2,7,150,20,9,True
211,0.2,7,150,20,12,True
212,0.2,7,180,20,3,False
213,0.2,7,180,20,6,True
214,0.2,7,180,20,9,False
215,0.2,7,180,20,12,True
216,0.2,7,210,20,3,False
217,0.2,7,210,20,6,True
218,0.2,7,210,20,9,False
219,0.2,7,210,20,12,True
220,0.2,7,240,20,3,False
221,0.2,7,240,20,6,True
222,0.2,7,240,20,9,True
223,0.2,7,240,20,12,True
224,0.2,7,270,20,3,True
225,0.2,7,270,20,6,True
226,0.2,7,270,20,9,True
227,0.2,7,270,20,12,True
228,0.2,7,300,20,3,True
229,0.2,7,300,20,6,True
230,0.2,7,300,20,9,True
231,0.2,7,300,20,12,True
232,0.2,7,330,20,3,True
233,0.2,7,330,20,6,True
234,0.2,7,330,20,9,True
235,0.2,7,330,20,12,True
236,0.2,7,360,20,3,False
237,0.2,7,360,20,6,True
238,0.2,7,360,20,9,False
239,0.2,7,360,20,12,True
240,0.2,14,30,20,3,False
241,0.2,14,30,20,6,True
242,0.2,14,30,20,9,False
243,0.2,14,30,20,12,False
244,0.2,14,60,20,3,False
245,0.2,14,60,20,6,True
246,0.2,14,60,20,9,True
247,0.2,14,60,20,12,True
248,0.2,14,90,20,3,False
249,0.2,14,90,20,6,True
250,0.2,14,90,20,9,True
251,0.2,14,90,20,12,True
252,0.2,14,120,20,3,True
253,0.2,14,120,20,6,False
254,0.2,14,120,20,9,True
255,0.2,14,120,20,12,True
256,0.2,14,150,20,3,True
257,0.2,14,150,20,6,True
258,0.2,14,150,20,9,True
259,0.2,14,150,20,12,True
260,0.2,14,180,20,3,False
261,0.2,14,180,20,6,True
262,0.2,14,180,20,9,True
263,0.2,14,180,20,12,True
264,0.2,14,210,20,3,False
265,0.2,14,210,20,6,True
266,0.2,14,210,20,9,False
267,0.2,14,210,20,12,True
268,0.2,14,240,20,3,False
269,0.2,14,240,20,6,True
270,0.2,14,240,20,9,True
271,0.2,14,240,20,12,True
272,0.2,14,270,20,3,True
273,0.2,14,270,20,6,True
274,0.2,14,270,20,9,True
275,0.2,14,270,20,12,True
276,0.2,14,300,20,3,True
277,0.2,14,300,20,6,False
278,0.2,14,300,20,9,True
279,0.2,14,300,20,12,True
280,0.2,14,330,20,3,True
281,0.2,14,330,20,6,True
282,0.2,14,330,20,9,True
283,0.2,14,330,20,12,True
284,0.2,14,360,20,3,False
285,0.2,14,360,20,6,True
286,0.2,14,360,20,9,True
287,0.2,14,360,20,12,True
288,0.2,21,30,20,3,False
289,0.2,21,30,20,6,False
290,0.2,21,30,20,9,False
291,0.2,21,30,20,12,False
292,0.2,21,60,20,3,False
293,0.2,21,60,20,6,False
294,0.2,21,60,20,9,False
295,0.2,21,60,20,12,False
296,0.2,21,90,20,3,True
297,0.2,21,90,20,6,True
298,0.2,21,90,20,9,True
299,0.2,21,90,20,12,True
300,0.2,21,120,20,3,False
301,0.2,21,120,20,6,True
302,0.2,21,120,20,9,True
303,0.2,21,120,20,12,True
304,0.2,21,150,20,3,True
305,0.2,21,150,20,6,True
306,0.2,21,150,20,9,True
307,0.2,21,150,20,12,True
308,0.2,21,180,20,3,False
309,0.2,21,180,20,6,True
310,0.2,21,180,20,9,False
311,0.2,21,180,20,12,True
312,0.2,21,210,20,3,False
313,0.2,21,210,20,6,True
314,0.2,21,210,20,9,True
315,0.2,21,210,20,12,True
316,0.2,21,240,20,3,False
317,0.2,21,240,20,6,True
318,0.2,21,240,20,9,True
319,0.2,21,240,20,12,True
320,0.2,21,270,20,3,True
321,0.2,21,270,20,6,False
322,0.2,21,270,20,9,True
323,0.2,21,270,20,12,True
324,0.2,21,300,20,3,True
325,0.2,21,300,20,6,True
326,0.2,21,300,20,9,True
327,0.2,21,300,20,12,True
328,0.2,21,330,20,3,True
329,0.2,21,330,20,6,False
330,0.2,21,330,20,9,True
331,0.2,21,330,20,12,True
332,0.2,21,360,20,3,True
333,0.2,21,360,20,6,True
334,0.2,21,360,20,9,True
335,0.2,21,360,20,12,True
336,0.2,28,30,20,3,False
337,0.2,28,30,20,6,False
338,0.2,28,30,20,9,False
339,0.2,28,30,20,12,False
340,0.2,28,60,20,3,False
341,0.2,28,60,20,6,False
342,0.2,28,60,20,9,False
343,0.2,28,60,20,12,True
344,0.2,28,90,20,3,False
345,0.2,28,90,20,6,False
346,0.2,28,90,20,9,True
347,0.2,28,90,20,12,True
348,0.2,28,120,20,3,False
349,0.2,28,120,20,6,False
350,0.2,28,120,20,9,True
351,0.2,28,120,20,12,True
352,0.2,28,150,20,3,False
